source_sheet,fund_type,source_row,branch_text,row_values
EV. FUND,EVANGELICAL,183,Konongo | Konongo | Konongo | Konongo | Konongo | Konongo | Konongo | Konongo | Konongo | Konongo | Konongo | Konongo,18 | Konongo | 10 | 10 | 20 | 18.0 | Konongo | 15 | 15 | 18.0 | Konongo | 20 | 20 | 18.0 | Konongo | 0 | Konongo | 15 | 15 | 30 | Konongo | 35 | 35.0 | Konongo | 0 | Konongo | 0 | Konongo | 0 | Konongo | 0 | Konongo | 0 | Konongo | 0
EV. FUND,EVANGELICAL,184,Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani | Sunyani,19 | Sunyani | 0 | 19.0 | Sunyani | 0 | 19.0 | Sunyani | 0 | 19.0 | Sunyani | 0 | Sunyani | 0 | Sunyani | 0.0 | Sunyani | 0 | Sunyani | 0 | Sunyani | 0 | Sunyani | 0 | Sunyani | 0 | Sunyani | 0
EV. FUND,EVANGELICAL,192,Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A | Coaltar | zone A,26 | Coaltar | zone A | 122 | 122 | 26.0 | Coaltar | zone A | 69 | 30 | 31 | 40 | 170 | 26.0 | Coaltar | zone A | 30 | 30 | 26.0 | Coaltar | zone A | 36 | 50 | 86 | Coaltar | zone A | 130 | 130 | Coaltar | zone A | 25 | 25.0 | Coaltar | zone A | 81 | 73 | 45 | 199 | Coaltar | zone A | 0 | Coaltar | zone A | 0 | Coaltar | zone A | 0 | Coaltar | zone A | 0 | Coaltar | zone A | 0
EV. FUND,EVANGELICAL,193,Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A,27 | Tumfa | Zone A | 142 | 25 | 22 | 19 | 208 | 27.0 | Tumfa | Zone A | 20 | 20 | 27.0 | Tumfa | Zone A | 0 | 27.0 | Tumfa | Zone A | 0 | Tumfa | Zone A | 560 | 560 | Tumfa | Zone A | 0.0 | Tumfa | Zone A | 0 | Tumfa | Zone A | 0 | Tumfa | Zone A | 0 | Tumfa | Zone A | 0 | Tumfa | Zone A | 0 | Tumfa | Zone A | 0
EV. FUND,EVANGELICAL,194,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,28 | Otoase | zone A | 59 | 69 | 128 | 28.0 | Otoase | zone A | 39 | 39 | 28.0 | Otoase | zone A | 49 | 49 | 28.0 | Otoase | zone A | 34 | 39 | 73 | Otoase | zone A | 69 | 64 | 133 | Otoase | zone A | 39 | 49 | 88.0 | Otoase | zone A | 45 | 45 | Otoase | zone A | 0 | Otoase | zone A | 0 | Otoase | zone A | 0 | Otoase | zone A | 0 | Otoase | zone A | 0
EV. FUND,EVANGELICAL,195,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,29 | Nsawam | zone A | 24 | 32 | 56 | 29.0 | Nsawam | zone A | 25 | 30 | 55 | 29.0 | Nsawam | zone A | 25 | 25 | 29.0 | Nsawam | zone A | 20 | 20 | Nsawam | zone A | 24 | 72 | 96 | Nsawam | zone A | 44 | 46 | 90.0 | Nsawam | zone A | 47 | 49 | 96 | Nsawam | zone A | 0 | Nsawam | zone A | 0 | Nsawam | zone A | 0 | Nsawam | zone A | 0 | Nsawam | zone A | 0
EV. FUND,EVANGELICAL,196,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,30 | Suhum | zone A | 24 | 25 | 24 | 25 | 98 | 30.0 | Suhum | zone A | 0 | 30.0 | Suhum | zone A | 0 | 30.0 | Suhum | zone A | 0 | Suhum | zone A | 0 | Suhum | zone A | 99 | 40 | 139.0 | Suhum | zone A | 29 | 49 | 78 | Suhum | zone A | 0 | Suhum | zone A | 0 | Suhum | zone A | 0 | Suhum | zone A | 0 | Suhum | zone A | 0
EV. FUND,EVANGELICAL,197,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,31 | Asamankese | zone A | 0 | 31.0 | Asamankese | zone A | 0 | 31.0 | Asamankese | zone A | 0 | 31.0 | Asamankese | zone A | 0 | Asamankese | zone A | 0 | Asamankese | zone A | 0.0 | Asamankese | zone A | 0 | Asamankese | zone A | 0 | Asamankese | zone A | 0 | Asamankese | zone A | 0 | Asamankese | zone A | 0 | Asamankese | zone A | 0
EV. FUND,EVANGELICAL,198,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,32 | Marfo | zone A | 40 | 30 | 70 | 32.0 | Marfo | zone A | 43 | 30 | 73 | 32.0 | Marfo | zone A | 70 | 70 | 32.0 | Marfo | zone A | 70 | 70 | Marfo | zone A | 50 | 50 | Marfo | zone A | 0.0 | Marfo | zone A | 0 | Marfo | zone A | 0 | Marfo | zone A | 0 | Marfo | zone A | 0 | Marfo | zone A | 0 | Marfo | zone A | 0
EV. FUND,EVANGELICAL,199,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,33 | Amfaso | zone A | 24 | 24 | 33.0 | Amfaso | zone A | 10 | 15 | 25 | 33.0 | Anfaso | zone A | 35 | 35 | 33.0 | Anfaso | zone A | 20 | 25 | 45 | Anfaso | zone A | 20 | 24 | 40 | 84 | Anfaso | zone A | 0.0 | Anfaso | zone A | 0 | Anfaso | zone A | 0 | Anfaso | zone A | 0 | Anfaso | zone A | 0 | Anfaso | zone A | 0 | Anfaso | zone A | 0
