source_sheet,fund_type,source_row,branch_text,row_values
N. FUND,NATIONAL,22,Konongo,18 | Konongo | 19 | 20 | 14 | 30 | 10 | 15 | 15 | 15 | 15 | 30 | 183 | 183.0
N. FUND,NATIONAL,23,Sunyani,19 | Sunyani | 0
N. FUND,NATIONAL,31,Coaltar | zone A,26 | Coaltar | zone A | 94 | 60 | 100 | 99 | 94 | 192 | 93 | 84 | 63 | 154 | 111 | 1144 | 1144.0
N. FUND,NATIONAL,32,Zone A,27 | Tumfa | Zone A | 12 | 40 | 18 | 20 | 20 | 99 | 37 | 101 | 60 | 407 | 407.0
N. FUND,NATIONAL,33,zone A,28 | Otoase | zone A | 50 | 67 | 39 | 69 | 49 | 137 | 129 | 119 | 74 | 99 | 139 | 971 | 971.0
N. FUND,NATIONAL,34,zone A,29 | Nsawam | zone A | 41 | 50 | 79 | 50 | 98 | 78 | 98 | 78 | 78 | 70 | 98 | 818 | 818.0
N. FUND,NATIONAL,35,zone A,30 | Suhum | zone A | 50 | 59 | 99 | 108 | 49 | 59 | 60 | 50 | 534 | 534.0
N. FUND,NATIONAL,36,zone A,31 | Asamankese | zone A | 0
N. FUND,NATIONAL,37,zone A,32 | Marfo | zone A | 50 | 50 | 59 | 99 | 46 | 418 | 100 | 200 | 1022 | 1022.0
N. FUND,NATIONAL,38,zone A,33 | Amfaso | zone A | 20 | 15 | 24 | 15 | 29 | 30 | 50 | 20 | 30 | 233 | 233.0
N. FUND,NATIONAL,39,Zone A,34 | Adeiso | Zone A | 30 | 30 | 30 | 40 | 59 | 49 | 50 | 61 | 59 | 59 | 467 | 467.0
N. FUND,NATIONAL,40,Koforidua | zone A,35 | Koforidua | zone A | 137 | 186 | 106 | 253 | 109 | 99 | 110 | 118 | 188 | 100 | 190 | 1596 | 1596.0
N. FUND,NATIONAL,41,zone A,36 | Effiduase | zone A | 44 | 42.5 | 173 | 74 | 92 | 105 | 327 | 150 | 139 | 210 | 1356.5 | 1356.0
N. FUND,NATIONAL,42,zone A,37 | Owuram | zone A | 0
N. FUND,NATIONAL,43,zone A,38 | Amanase | zone A | 45 | 122 | 15 | 21 | 42 | 50 | 39 | 92 | 105 | 129 | 80 | 89 | 829 | 829.0
N. FUND,NATIONAL,44,zone B,39 | Gyamase | zone B | 38 | 17 | 57 | 30 | 34 | 57 | 35 | 20 | 26 | 25 | 339 | 339.0
N. FUND,NATIONAL,45,zone B,40 | Ayirebi | zone B | 20 | 34 | 20 | 30 | 35 | 25 | 44 | 30 | 60 | 30 | 328 | 328.0
N. FUND,NATIONAL,46,zone B,41 | Anamase | zone B | 30 | 29 | 30 | 50 | 49 | 188 | 188.0
N. FUND,NATIONAL,47,zone B,42 | Anyinase | zone B | 20 | 70 | 40 | 139 | 50 | 79 | 398 | 398.0
N. FUND,NATIONAL,48,zone B,43 | Akwasiho | zone B | 100 | 230 | 148 | 478 | 478.0
N. FUND,NATIONAL,49,Nkawkaw | zone B,44 | Nkawkaw | zone B | 99 | 116 | 100 | 120 | 99 | 173 | 159 | 178 | 154 | 119 | 119 | 1436 | 1436.0
N. FUND,NATIONAL,50,zone B,45 | Akim Oda | zone B | 30 | 20 | 24 | 150 | 100 | 324 | 324.0
N. FUND,NATIONAL,58,Takoradi,51 | Takoradi | 102+95 | 195 | 191 | 119 | 100 | 100 | 100 | 198 | 99 | 119 | 99 | 1320 | 1320.0
N. FUND,NATIONAL,61,Sowutuom- H/Q,54 | Sowutuom- H/Q | 2041 | 2440 | 1624 | 1782 | 2109 | 2016 | 2736 | 2046 | 2325 | 2062 | 2230 | 2055 | 25466 | 25466.0
N. FUND,NATIONAL,63,GT. Accra zone 1,GT. Accra zone 1 | 200 | 200 | 300 | 300 | 350 | 1350 | 1350.0
N. FUND,NATIONAL,64,GT. Accra zone 2,GT. Accra zone 2 | 0
N. FUND,NATIONAL,65,Eastern-Coaltar D.,Eastern-Coaltar D. | 297 | 594 | 104 | 995 | 995.0
N. FUND,NATIONAL,66,Nkawkaw Dist.,Nkawkaw Dist. | 1000 | 990 | 1990 | 1990.0
N. FUND,NATIONAL,83,Region / Branch,Region / Branch
N. FUND,NATIONAL,84,Zone,Greater Accra | Zone | JAN | FEB | MAR | APRIL | MAY | JUNE | JULY | AUG | SEPT | OCT | NOV | DEC | GHc | 2023.0
N. FUND,NATIONAL,85,zone 1,1 | Accra Newtown | zone 1 | 445 | 400 | 260 | 240 | 505 | 300 | 225 | 223 | 244 | 257 | 300 | 384 | 3783 | 3783.0 | 2144.0
N. FUND,NATIONAL,86,Kasoa | zone 1,2 | Kasoa | zone 1 | 109 | 100 | 200 | 395 | 200 | 100 | 120 | 303 | 190 | 175 | 1892 | 1892.0 | 1579.0
N. FUND,NATIONAL,87,zone 1,3 | Sapeiman | zone 1 | 148 | 160 | 79 | 158 | 178 | 150 | 79 | 150 | 99 | 1201 | 1201.0 | 85.0
N. FUND,NATIONAL,88,zone 1,4 | Oshuiman | zone 1 | 49 | 49 | 49 | 49 | 49 | 49 | 49 | 49 | 49 | 40 | 54 | 49 | 584 | 584.0 | 285.0
N. FUND,NATIONAL,89,Taifa | zone 1,5 | Taifa | zone 1 | 60 | 99 | 170 | 100 | 115 | 131 | 120 | 110 | 150 | 150 | 149 | 1354 | 1354.0 | 50.0
N. FUND,NATIONAL,90,Nyanyano | zone 1,6 | Nyanyano | zone 1 | 90 | 109 | 49 | 49 | 297 | 297.0 | 30.5
N. FUND,NATIONAL,91,Teshie | zone2,7 | Teshie | zone2 | 120 | 70 | 55 | 150 | 105 | 100 | 100 | 125 | 825 | 825.0 | 15.0
N. FUND,NATIONAL,92,zone 2,8 | Madina | zone 2 | 550 | 343 | 246 | 370 | 333 | 290 | 200 | 320 | 303 | 442 | 415 | 385 | 4197 | 4197.0 | 570.0
N. FUND,NATIONAL,93,zone 2,9 | Buduburam | zone 2 | 100 | 100 | 106 | 74 | 50 | 74 | 74 | 44 | 54 | 676 | 676.0
N. FUND,NATIONAL,94,zone 2,10 | Mampong | zone 2 | 44 | 54 | 98 | 98.0 | 120.0
N. FUND,NATIONAL,95,Ashaiman | zone 2,11 | Ashaiman | zone 2 | 55 | 40 | 41 | 40 | 39 | 59 | 49 | 54 | 40 | 96 | 94 | 607 | 607.0 | 203.0
N. FUND,NATIONAL,96,zone 2,12 | Larteh | zone 2 | 0 | 0.0 | 0.0
N. FUND,NATIONAL,97,Odorkor | zone 2,13 | Odorkor | zone 2 | 99 | 99 | 99 | 99 | 99 | 84 | 99 | 84 | 275 | 89 | 79 | 99 | 1304 | 1304.0 | 670.0
N. FUND,NATIONAL,98,zone 2,14 | Achimota | zone 2 | 119 | 283 | 205 | 233 | 157 | 239 | 150 | 248 | 185 | 327 | 210 | 198 | 2554 | 2554.0 | 975.0
N. FUND,NATIONAL,102,Nyenkyerenease,17 | Nyenkyerenease | 49 | 50 | 50 | 49 | 50 | 50 | 20 | 76 | 25 | 419 | 419.0 | 50.0
N. FUND,NATIONAL,103,Konongo,18 | Konongo | 30 | 30 | 20 | 50 | 19 | 20 | 25 | 20 | 214 | 214.0 | 0.0
N. FUND,NATIONAL,104,Sunyani,19 | Sunyani | 0
N. FUND,NATIONAL,112,Coaltar | zone A,26 | Coaltar | zone A | 135 | 213 | 210 | 326 | 175 | 138 | 120 | 130 | 235 | 189 | 160 | 200 | 2231 | 2231.0 | 550.0
N. FUND,NATIONAL,113,Zone A,27 | Tumfa | Zone A | 30 | 35 | 46 | 20 | 30 | 35 | 30 | 22 | 30 | 20 | 298 | 298.0 | 99.0
N. FUND,NATIONAL,114,zone A,28 | Otoase | zone A | 79 | 109 | 104 | 50 | 59 | 69 | 99 | 99 | 40 | 99 | 114 | 921 | 921.0 | 272.0
N. FUND,NATIONAL,115,zone A,29 | Nsawam | zone A | 98 | 98 | 112 | 98 | 88 | 42 | 94 | 50 | 90 | 60 | 75 | 49 | 954 | 954.0 | 203.0
N. FUND,NATIONAL,116,zone A,30 | Suhum | zone A | 100 | 100 | 99 | 90 | 389 | 389.0 | 0.0
N. FUND,NATIONAL,117,zone A,31 | Asamankese | zone A | 0 | 0.0
N. FUND,NATIONAL,118,zone A,32 | Marfo | zone A | 150 | 76 | 109 | 139 | 104 | 128 | 213 | 203 | 1122 | 1122.0 | 110.0
N. FUND,NATIONAL,119,zone A,33 | Amfaso | zone A | 74 | 30 | 30 | 49 | 50 | 40 | 20 | 293 | 293.0 | 100.0
N. FUND,NATIONAL,120,Zone A,34 | Adeiso | Zone A | 50 | 60 | 60 | 99 | 39 | 39 | 347 | 347.0 | 90.0
N. FUND,NATIONAL,121,Koforidua | zone A,35 | Koforidua | zone A | 125 | 104 | 105 | 120 | 107 | 105 | 115 | 331 | 100 | 115 | 100 | 102 | 1529 | 1529.0 | 1853.0
N. FUND,NATIONAL,122,zone A,36 | Effiduase | zone A | 170 | 185 | 164 | 108 | 123 | 129 | 100 | 130 | 105 | 1214 | 1214.0 | 677.0
N. FUND,NATIONAL,123,zone A,37 | Owuram | zone A | 0 | 0.0
N. FUND,NATIONAL,124,zone A,38 | Amanase | zone A | 99 | 73 | 75 | 166 | 105 | 100 | 70 | 80 | 100 | 868 | 868.0 | 30.0
N. FUND,NATIONAL,125,zone B,39 | Gyamase | zone B | 30 | 20 | 25 | 30 | 30 | 34 | 25 | 20 | 80 | 20 | 314 | 314.0 | 257.0
N. FUND,NATIONAL,126,zone B,40 | Ayirebi | zone B | 0 | 0.0 | 248.0
N. FUND,NATIONAL,127,zone B,41 | Anamase | zone B | 0 | 0.0 | 82.0
N. FUND,NATIONAL,128,zone B,42 | Anyinase | zone B | 49 | 100 | 50 | 45 | 60 | 50 | 70 | 70 | 100 | 594 | 594.0 | 35.0
N. FUND,NATIONAL,129,zone B,43 | Akwasiho | zone B | 99 | 101 | 119 | 120 | 130 | 100 | 150 | 150 | 120 | 149 | 149 | 1387 | 1387.0 | 316.0
N. FUND,NATIONAL,130,Nkawkaw | zone B,44 | Nkawkaw | zone B | 148 | 148 | 129 | 148 | 158 | 138 | 150 | 262 | 150 | 150 | 173 | 1754 | 1754.0 | 1276.0
N. FUND,NATIONAL,131,zone B,45 | Akim Oda | zone B | 59 | 200 | 49 | 99 | 50 | 149 | 99 | 230 | 99 | 298 | 1332 | 1332.0 | 0.0
N. FUND,NATIONAL,139,Takoradi,51 | Takoradi | 313 | 275 | 289 | 109 | 243 | 385 | 972 | 407 | 605 | 80 | 110 | 221 | 4009 | 4009.0 | 1670.0
N. FUND,NATIONAL,142,Sowutuom- H/Q,54 | Sowutuom- H/Q | 2393 | 2251 | 2288.9 | 2320 | 1938 | 2211 | 1789 | 2070 | 2254 | 2665 | 2388 | 1648 | 26215.9 | 26215.0 | 23621.0
N. FUND,NATIONAL,144,GT. Accra zone 1,GT. Accra zone 1 | 205 | 350 | 300 | 300 | 400 | 900 | 1000 | 3455 | 3455.0 | 1800.0
N. FUND,NATIONAL,145,GT. Accra zone 2,GT. Accra zone 2 | 200 | 200 | 200.0 | 1500.0
N. FUND,NATIONAL,146,Eastern-Coaltar D.,Eastern-Coaltar D. | 302 | 300 | 300 | 300 | 300 | 1502 | 1502.0 | 0.0
N. FUND,NATIONAL,147,Nkawkaw Dist.,Nkawkaw Dist. | 1000 | 990 | 1000 | 1000 | 3990 | 3990.0 | 0.0
N. FUND,NATIONAL,165,Region / Branch,Region / Branch
N. FUND,NATIONAL,166,Zone,Greater Accra | Zone | JAN | FEB | MAR | APRIL | MAY | JUNE | JULY | AUG | SEPT | OCT | NOV | DEC | GHc
N. FUND,NATIONAL,167,zone 1,1 | Accra Newtown | zone 1 | 302 | 350 | 332 | 300 | 1284
N. FUND,NATIONAL,168,Kasoa | zone 1,2 | Kasoa | zone 1 | 215 | 110 | 150 | 260 | 735
N. FUND,NATIONAL,169,zone 1,3 | Sapeiman | zone 1 | 149 | 149 | 70 | 99 | 99 | 99 | 665
N. FUND,NATIONAL,170,zone 1,4 | Oshuiman | zone 1 | 59 | 49 | 49 | 59 | 59 | 49 | 324
N. FUND,NATIONAL,171,Taifa | zone 1,5 | Taifa | zone 1 | 170 | 180 | 190 | 120 | 660
N. FUND,NATIONAL,172,Nyanyano | zone 1,6 | Nyanyano | zone 1 | 30 | 48 | 78
N. FUND,NATIONAL,173,Teshie | zone2,7 | Teshie | zone2 | 100 | 150 | 200 | 450
N. FUND,NATIONAL,174,zone 2,8 | Madina | zone 2 | 334 | 265 | 267 | 398 | 396 | 198 | 257 | 2115
N. FUND,NATIONAL,175,zone 2,9 | Buduburam | zone 2 | 79 | 79
N. FUND,NATIONAL,176,zone 2,10 | Mampong | zone 2 | 0
N. FUND,NATIONAL,177,Ashaiman | zone 2,11 | Ashaiman | zone 2 | 54 | 35 | 30 | 34 | 39 | 44 | 236
N. FUND,NATIONAL,178,zone 2,12 | Larteh | zone 2 | 0
N. FUND,NATIONAL,179,Odorkor | zone 2,13 | Odorkor | zone 2 | 119 | 109 | 90 | 99 | 119 | 118 | 654
N. FUND,NATIONAL,180,zone 2,14 | Achimota | zone 2 | 297 | 575 | 260 | 305 | 255 | 270 | 1962
N. FUND,NATIONAL,184,Nyenkyerenease,17 | Nyenkyerenease | 50 | 100 | 51 | 30 | 35 | 54 | 50 | 370
N. FUND,NATIONAL,185,Konongo,18 | Konongo | 30 | 15 | 34 | 79
N. FUND,NATIONAL,186,Sunyani,19 | Sunyani | 0
N. FUND,NATIONAL,194,Coaltar | zone A,26 | Coaltar | zone A | 200 | 100 | 208 | 120 | 199 | 238 | 1065
N. FUND,NATIONAL,195,Zone A,27 | Tumfa | Zone A | 85 | 110 | 195
N. FUND,NATIONAL,196,zone A,28 | Otoase | zone A | 109 | 99 | 99 | 99 | 149 | 120 | 675
N. FUND,NATIONAL,197,zone A,29 | Nsawam | zone A | 70 | 65 | 60 | 80 | 84 | 100 | 459
N. FUND,NATIONAL,198,zone A,30 | Suhum | zone A | 99 | 297 | 100 | 496
N. FUND,NATIONAL,199,zone A,31 | Asamankese | zone A | 0
N. FUND,NATIONAL,200,zone A,32 | Marfo | zone A | 100 | 91 | 92 | 110 | 80 | 114 | 587
N. FUND,NATIONAL,201,zone A,33 | Amfaso | zone A | 0
N. FUND,NATIONAL,202,Zone A,34 | Adeiso | Zone A | 70 | 60 | 40 | 170
N. FUND,NATIONAL,203,Koforidua | zone A,35 | Koforidua | zone A | 122 | 110 | 112 | 169 | 105 | 155 | 107 | 880
N. FUND,NATIONAL,204,zone A,36 | Effiduase | zone A | 150 | 110 | 150 | 154 | 564
N. FUND,NATIONAL,205,zone A,37 | Owuram | zone A | 0
N. FUND,NATIONAL,206,zone A,38 | Amanase | zone A | 163 | 60 | 70 | 80 | 90 | 99 | 60 | 622
N. FUND,NATIONAL,207,zone B,39 | Gyamase | zone B | 30 | 44 | 30 | 25 | 129
N. FUND,NATIONAL,208,zone B,40 | Ayirebi | zone B | 30 | 30
N. FUND,NATIONAL,209,zone B,41 | Anamase | zone B | 0
N. FUND,NATIONAL,210,zone B,42 | Anyinase | zone B | 200 | 200
N. FUND,NATIONAL,211,zone B,43 | Akwasiho | zone B | 200 | 200 | 200 | 200 | 150 | 100 | 1050
N. FUND,NATIONAL,212,Nkawkaw | zone B,44 | Nkawkaw | zone B | 188 | 198 | 150 | 141 | 169 | 149 | 139 | 1134
N. FUND,NATIONAL,213,zone B,45 | Akim Oda | zone B | 200 | 199 | 149 | 199 | 99 | 846
N. FUND,NATIONAL,221,Takoradi,51 | Takoradi | 746 | 204 | 287 | 1237
N. FUND,NATIONAL,224,Sowutuom- H/Q,54 | Sowutuom- H/Q | 2892 | 2599 | 2380 | 2378 | 3320 | 2930 | 2685 | 19184
N. FUND,NATIONAL,226,GT. Accra zone 1,GT. Accra zone 1 | 300 | 300
N. FUND,NATIONAL,227,GT. Accra zone 2,GT. Accra zone 2 | 1000 | 1000
N. FUND,NATIONAL,228,Eastern-Coaltar D.,Eastern-Coaltar D. | 0
N. FUND,NATIONAL,229,Nkawkaw Dist.,Nkawkaw Dist. | 300 | 1000 | 1300
EV. FUND,EVANGELICAL,2,Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch | Region / Branch,Region / Branch | JANUARY | Region / Branch | FEBRUARY | Region / Branch | MARCH | Region / Branch | APRIL | Region / Branch | MAY | Region / Branch | JUNE | Region / Branch | JULY | Region / Branch | AUGUST | Region / Branch | SEPTEMBER | Region / Branch | OCTOBER | Region / Branch | NOVEMBER | Region / Branch | DECEMBER
EV. FUND,EVANGELICAL,3,Zone | Zone | Zone | Zone | Zone | Zone | Zone | Zone | Zone | Zone | Zone | Zone,Greater Accra | Zone | 7TH | 14TH | 21ST | 28TH | T | Greater Accra | Zone | 4TH | 11TH | 18TH | 25TH | T | Greater Accra | Zone | 3RD | 10TH | 17TH | 24TH | 31ST | T | Greater Accra | Zone | 2004-03-31 00:00:00 | 7TH | 14TH | 21ST | 28TH | T | Greater Accra | Zone | 5TH | 12TH | 19 | 26TH | T | Greater Accra | Zone | 2ND | 9TH | 16TH | 23TH | T | Greater Accra | Zone | 30TH | 7TH | 14TH | 21ST | 28TH | T | Greater Accra | Zone | 4TH | 11TH | 18TH | 25TH | T | Greater Accra | Zone | 1ST | 8TH | 15TH | 22ND | 29TH | T | Greater Accra | Zone | 6TH | 13TH | 20TH | 27TH | T | Greater Accra | Zone | 3RD | 10TH | 17TH | 24TH | 30TH | T | Greater Accra | Zone | 1ST | 8TH | 15TH | 22 | 29 | T
EV. FUND,EVANGELICAL,4,zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1,1 | Accra Newtown | zone 1 | 120 | 120 | 1.0 | Accra Newtown | zone 1 | 140 | 140 | 1.0 | Accra Newtown | zone 1 | 50 | 50 | 1.0 | Accra Newtown | zone 1 | 80 | 80 | Accra Newtown | zone 1 | 80 | 80 | 160 | Accra Newtown | zone 1 | 100 | 80 | 73 | 253 | Accra Newtown | zone 1 | 70 | 95 | 50 | 215 | Accra Newtown | zone 1 | 80 | 80 | Accra Newtown | zone 1 | 110 | 95 | 205 | Accra Newtown | zone 1 | 100 | 100 | Accra Newtown | zone 1 | 100 | 100 | Accra Newtown | zone 1 | 110 | 110 | 220
EV. FUND,EVANGELICAL,5,Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1 | Kasoa | zone 1,2 | Kasoa | zone 1 | 0 | 2.0 | Kasoa | zone 1 | 150 | 150 | 2.0 | Kasoa | zone 1 | 144 | 100 | 244 | 2.0 | Kasoa | zone 1 | 0 | Kasoa | zone 1 | 150 | 150 | Kasoa | zone 1 | 100 | 170 | 270 | Kasoa | zone 1 | 81 | 81 | Kasoa | zone 1 | 45 | 45 | 44 | 44 | 178 | Kasoa | zone 1 | 95 | 90 | 92 | 277 | Kasoa | zone 1 | 40 | 40 | Kasoa | zone 1 | 40 | 40 | Kasoa | zone 1 | 0
EV. FUND,EVANGELICAL,6,zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1,3 | Sapeiman | zone 1 | 19.5 | 20 | 39.5 | 3.0 | Sapeiman | zone 1 | 30 | 30 | 3.0 | Sapeiman | zone 1 | 20 | 30 | 50 | 3.0 | Sapeiman | zone 1 | 29 | 29 | 58 | Sapeiman | zone 1 | 20 | 24 | 30 | 74 | Sapeiman | zone 1 | 25 | 20 | 45 | Sapeiman | zone 1 | 0 | Sapeiman | zone 1 | 20 | 20 | Sapeiman | zone 1 | 39 | 39 | Sapeiman | zone 1 | 0 | Sapeiman | zone 1 | 50 | 39 | 89 | Sapeiman | zone 1 | 0
EV. FUND,EVANGELICAL,7,zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1 | zone 1,4 | Oshuiman | zone 1 | 19.7 | 19.7 | 4.0 | Oshuiman | zone 1 | 29 | 29 | 4.0 | Oshuiman | zone 1 | 24.5 | 24.5 | 4.0 | Oshuiman | zone 1 | 29 | 29 | 58 | Oshuiman | zone 1 | 39 | 39 | Oshuiman | zone 1 | 29 | 29 | Oshuiman | zone 1 | 29 | 29 | Oshuiman | zone 1 | 29 | 29 | Oshuiman | zone 1 | 29 | 34 | 29 | 92 | Oshuiman | zone 1 | 29 | 29 | Oshuiman | zone 1 | 30 | 30 | Oshuiman | zone 1 | 39 | 39
EV. FUND,EVANGELICAL,8,Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1 | Taifa | zone 1,5 | Taifa | zone 1 | 20 | 17 | 37 | 5.0 | Taifa | zone 1 | 20 | 20 | 5.0 | Taifa | zone 1 | 20 | 30 | 50 | 5.0 | Taifa | zone 1 | 20 | 42 | 62 | Taifa | zone 1 | 54 | 25 | 79 | Taifa | zone 1 | 10 | 30 | 40 | Taifa | zone 1 | 20 | 20 | Taifa | zone 1 | 22 | 31 | 53 | Taifa | zone 1 | 40 | 27 | 30 | 97 | Taifa | zone 1 | 34 | 30 | 64 | Taifa | zone 1 | 21 | 21 | Taifa | zone 1 | 30 | 30
EV. FUND,EVANGELICAL,9,Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1 | Nyanyano | zone 1,6 | Nyanyano | zone 1 | 20 | 20 | 40 | 6.0 | Nyanyano | zone 1 | 20 | 20 | 40 | 6.0 | Nyanyano | zone 1 | 10 | 10 | 6.0 | Nyanyano | zone 1 | 20 | 20 | 20 | 60 | Nyanyano | zone 1 | 20 | 20 | 40 | Nyanyano | zone 1 | 20 | 20 | 20 | 60 | Nyanyano | zone 1 | 20 | 20 | Nyanyano | zone 1 | 0 | Nyanyano | zone 1 | 20 | 25 | 20 | 65 | Nyanyano | zone 1 | 20 | 20 | Nyanyano | zone 1 | 20 | 20 | Nyanyano | zone 1 | 20 | 20
EV. FUND,EVANGELICAL,10,Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2 | Teshie | zone2,7 | Teshie | zone2 | 0 | 7.0 | Teshie | zone2 | 20.3 | 20.3 | 7.0 | Teshie | zone2 | 35 | 10 | 45 | 7.0 | Teshie | zone2 | 10 | 15 | 25 | Teshie | zone2 | 10 | 29 | 39 | Teshie | zone2 | 20 | 10 | 30 | Teshie | zone2 | 25 | 25 | Teshie | zone2 | 19 | 19 | Teshie | zone2 | 30 | 20 | 50 | Teshie | zone2 | 30 | 30 | Teshie | zone2 | 20 | 20 | Teshie | zone2 | 30 | 30
EV. FUND,EVANGELICAL,11,zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2,8 | Madina | zone 2 | 54 | 25 | 26.7 | 105.7 | 8.0 | Madina | zone 2 | 30 | 25.7 | 55.7 | 8.0 | Madina | zone 2 | 56 | 30 | 40 | 126 | 8.0 | Madina | zone 2 | 31 | 28 | 29 | 88 | Madina | zone 2 | 34 | 34 | 68 | Madina | zone 2 | 54 | 26 | 30 | 110 | Madina | zone 2 | 20 | 29 | 49 | Madina | zone 2 | 27 | 31 | 58 | Madina | zone 2 | 35 | 30 | 37 | 102 | Madina | zone 2 | 20 | 22 | 42 | Madina | zone 2 | 30 | 30 | Madina | zone 2 | 39 | 25 | 39 | 103
EV. FUND,EVANGELICAL,12,zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2,9 | Prampram | zone 2 | 0 | 9.0 | Prampram | zone 2 | 0 | 9.0 | Prampram | zone 2 | 0 | 9.0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0 | Prampram | zone 2 | 0
EV. FUND,EVANGELICAL,13,zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2,10 | Mampong | zone 2 | 0 | 10.0 | Mampong | zone 2 | 0 | 10.0 | Mampong | zone 2 | 0 | 10.0 | Mampong | zone 2 | 0 | Mampong | zone 2 | 30 | 30 | Mampong | zone 2 | 0 | Mampong | zone 2 | 0 | Mampong | zone 2 | 0 | Mampong | zone 2 | 0 | Mampong | zone 2 | 0 | Mampong | zone 2 | 0 | Mampong | zone 2 | 0
EV. FUND,EVANGELICAL,14,Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2 | Ashaiman | zone 2,11 | Ashaiman | zone 2 | 15 | 13 | 15 | 43 | 11.0 | Ashaiman | zone 2 | 15 | 10 | 9 | 34 | 11.0 | Ashaiman | zone 2 | 10 | 5 | 15 | 11.0 | Ashaiman | zone 2 | 10 | 10 | Ashaiman | zone 2 | 20 | 10 | 30 | Ashaiman | zone 2 | 12 | 16 | 28 | Ashaiman | zone 2 | 12 | 12 | Ashaiman | zone 2 | 15 | 14 | 29 | Ashaiman | zone 2 | 39 | 26 | 17 | 7 | 89 | Ashaiman | zone 2 | 14 | 14 | Ashaiman | zone 2 | 21 | 21 | Ashaiman | zone 2 | 30 | 16 | 46
EV. FUND,EVANGELICAL,15,zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2 | zone 2,12 | Larteh | zone 2 | 0 | 12.0 | Larteh | zone 2 | 0 | 12.0 | Larteh | zone 2 | 0 | 12.0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0 | Larteh | zone 2 | 0
EV. FUND,EVANGELICAL,16,Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2 | Odorkor | zone 2,13 | Odorkor | zone 2 | 50 | 50 | 13.0 | Odorkor | zone 2 | 49.5 | 50 | 99.5 | 13.0 | Odorkor | zone 2 | 49 | 50 | 99 | 13.0 | Odorkor | zone 2 | 49 | 49 | Odorkor | zone 2 | 49 | 49 | 98 | Odorkor | zone 2 | 49 | 49 | 98 | Odorkor | zone 2 | 49 | 100 | 149 | Odorkor | zone 2 | 49 | 49 | 98 | Odorkor | zone 2 | 49 | 50 | 50 | 149 | Odorkor | zone 2 | 49 | 49 | Odorkor | zone 2 | 100 | 100 | Odorkor | zone 2 | 99 | 99
